orderid,orderdate,customer,product,units,billingaddress,remarks
2849,2/4/2019,602,448,60,Mysore,Dont ever dream of buying this item
2850,11/13/2018,6,668,64,Trivandrum,Wonderful Product
2851,8/8/2019,874,911,68,Trivandrum,Wonderful Product
2852,5/3/2019,694,482,40,Mysore,Pathetic Items Received
2853,12/18/2018,394,124,39,Hyderabad,Awful Items
2854,12/1/2018,249,919,33,New Delhi,Strongly Recommend to Everyone to Buy this Product
2855,3/23/2019,92,14,43,Trivandrum,Dont ever dream of buying this item
2856,10/6/2018,303,68,62,Chennai,Strongly Recommend to Everyone to Buy this Product
2857,5/6/2019,103,861,13,Bangalore,Appreciated
2858,5/4/2019,354,44,82,Mysore,Awful Items
2859,2/12/2019,259,408,66,Trivandrum,Appreciated
2860,11/4/2018,146,219,22,Mysore,Dont ever dream of buying this item
2861,2/27/2019,918,746,69,Mysore,Wonderful Product
2862,10/24/2018,86,947,31,Mysore,Pathetic Items Received
2863,9/26/2018,521,251,92,Kolkata,Strongly Recommend to Everyone to Buy this Product
2864,5/19/2019,761,4,13,Bangalore,Awful Items
2865,9/30/2018,697,362,31,Hyderabad,Awful Items
2866,6/15/2019,981,420,94,New Delhi,Appreciated
2867,12/21/2018,597,540,44,Bangalore,Appreciated
2868,11/7/2018,5,898,58,Mysore,Wonderful Product
2869,5/20/2019,539,222,60,Chennai,Dont ever dream of buying this item
2870,10/10/2018,699,44,63,Mysore,Awful Items
2871,5/20/2019,276,183,45,Mysore,Dont ever dream of buying this item
2872,3/16/2019,786,292,69,Kolkata,Awful Items
2873,6/5/2019,440,460,57,Bangalore,Wonderful Product
2874,10/22/2018,922,134,50,Mysore,Appreciated
2875,5/25/2019,137,540,24,Mysore,Dont ever dream of buying this item
2876,5/13/2019,334,553,71,Chennai,Wonderful Product
2877,3/27/2019,422,922,100,Kolkata,Pathetic Items Received
2878,6/8/2019,376,610,96,Mysore,Appreciated
2879,1/5/2019,798,107,95,New Delhi,Strongly Recommend to Everyone to Buy this Product
2880,6/22/2019,816,340,37,Trivandrum,Appreciated
2881,8/1/2019,910,999,57,New Delhi,Awful Items
2882,1/27/2019,774,303,40,Mysore,Wonderful Product
2883,10/25/2018,148,145,29,Kolkata,Wonderful Product
2884,11/28/2018,592,123,37,Bangalore,Wonderful Product
2885,9/25/2018,927,630,48,New Delhi,Appreciated
2886,9/15/2018,21,446,58,Mysore,Pathetic Items Received
2887,11/13/2018,514,970,24,Bangalore,Pathetic Items Received
2888,11/26/2018,112,595,50,Mysore,Dont ever dream of buying this item
2889,4/16/2019,243,641,73,New Delhi,Strongly Recommend to Everyone to Buy this Product
2890,11/14/2018,153,412,80,Mumbai,Strongly Recommend to Everyone to Buy this Product
2891,10/8/2018,51,954,82,Trivandrum,Strongly Recommend to Everyone to Buy this Product
2892,9/19/2018,350,382,58,Mumbai,Pathetic Items Received
2893,7/14/2019,516,49,95,Kolkata,Appreciated
2894,10/3/2018,374,66,36,Bangalore,Strongly Recommend to Everyone to Buy this Product
2895,12/23/2018,725,858,19,Chennai,Appreciated
2896,8/8/2019,858,453,22,Mysore,Pathetic Items Received
2897,11/9/2018,138,170,82,Trivandrum,Appreciated
2898,3/9/2019,770,25,11,Bangalore,Appreciated
2899,2/10/2019,345,949,89,Hyderabad,Dont ever dream of buying this item
2900,6/6/2019,817,48,20,Chennai,Pathetic Items Received
2901,7/16/2019,182,203,25,Hyderabad,Appreciated
2902,6/27/2019,955,479,17,Mysore,Wonderful Product
2903,2/11/2019,250,999,64,Bangalore,Awful Items
2904,7/12/2019,654,775,98,New Delhi,Awful Items
2905,7/10/2019,700,262,22,Bangalore,Awful Items
2906,5/26/2019,559,503,21,Mysore,Wonderful Product
2907,4/17/2019,28,860,86,Mysore,Strongly Recommend to Everyone to Buy this Product
2908,7/27/2019,612,239,42,Trivandrum,Dont ever dream of buying this item
2909,11/21/2018,300,806,37,Trivandrum,Appreciated
2910,4/5/2019,606,731,48,Chennai,Wonderful Product
2911,10/5/2018,156,973,87,Hyderabad,Dont ever dream of buying this item
2912,4/7/2019,189,38,38,Chennai,Dont ever dream of buying this item
2913,12/25/2018,87,250,24,Hyderabad,Wonderful Product
2914,8/27/2019,718,359,98,Trivandrum,Wonderful Product
2915,3/24/2019,779,249,61,Mysore,Pathetic Items Received
2916,9/18/2018,133,438,68,Bangalore,Pathetic Items Received
2917,6/14/2019,928,259,14,Chennai,Appreciated
2918,3/5/2019,286,164,98,New Delhi,Pathetic Items Received
2919,1/20/2019,497,481,22,Kolkata,Pathetic Items Received
2920,12/8/2018,15,371,49,Bangalore,Wonderful Product
2921,12/29/2018,96,398,57,Mysore,Pathetic Items Received
2922,11/16/2018,917,564,87,New Delhi,Appreciated
2923,4/2/2019,345,335,65,Hyderabad,Awful Items
2924,5/3/2019,699,785,89,Hyderabad,Strongly Recommend to Everyone to Buy this Product
2925,1/24/2019,831,663,59,Hyderabad,Dont ever dream of buying this item
2926,6/22/2019,56,98,35,Hyderabad,Strongly Recommend to Everyone to Buy this Product
2927,1/13/2019,778,929,44,Trivandrum,Appreciated
2928,5/28/2019,541,509,99,Kolkata,Strongly Recommend to Everyone to Buy this Product
2929,9/2/2019,629,952,73,New Delhi,Pathetic Items Received
2930,8/10/2019,707,14,63,Mumbai,Awful Items
2931,4/7/2019,943,265,73,Bangalore,Appreciated
2932,1/20/2019,696,758,25,Mumbai,Awful Items
2933,2/20/2019,18,155,77,Chennai,Strongly Recommend to Everyone to Buy this Product
2934,7/6/2019,236,9,23,Trivandrum,Dont ever dream of buying this item
2935,4/14/2019,734,942,20,Hyderabad,Dont ever dream of buying this item
2936,6/17/2019,884,106,74,Mysore,Awful Items
2937,5/15/2019,885,481,54,Chennai,Appreciated
2938,12/31/2018,278,171,16,Trivandrum,Appreciated
2939,8/3/2019,555,395,87,Bangalore,Dont ever dream of buying this item
2940,11/12/2018,942,999,12,Hyderabad,Wonderful Product
2941,7/24/2019,102,566,57,Hyderabad,Pathetic Items Received
2942,2/5/2019,516,145,29,Bangalore,Dont ever dream of buying this item
2943,2/14/2019,748,943,73,Hyderabad,Strongly Recommend to Everyone to Buy this Product
2944,10/27/2018,649,564,33,Mumbai,Wonderful Product
2945,8/19/2019,587,422,24,Mumbai,Appreciated
2946,10/28/2018,521,771,39,Trivandrum,Wonderful Product
2947,12/13/2018,405,238,89,Kolkata,Strongly Recommend to Everyone to Buy this Product
2948,9/14/2018,960,481,32,Kolkata,Awful Items
2949,11/25/2018,917,926,47,Mysore,Dont ever dream of buying this item
2950,7/5/2019,640,889,31,Bangalore,Wonderful Product
2951,6/12/2019,131,21,27,Trivandrum,Awful Items
2952,7/30/2019,575,583,96,Kolkata,Strongly Recommend to Everyone to Buy this Product
2953,3/20/2019,48,915,81,Hyderabad,Pathetic Items Received
2954,7/26/2019,563,34,65,Hyderabad,Pathetic Items Received
2955,6/1/2019,485,15,21,Hyderabad,Dont ever dream of buying this item
2956,12/22/2018,595,376,77,Mysore,Strongly Recommend to Everyone to Buy this Product
2957,5/19/2019,830,888,73,Chennai,Strongly Recommend to Everyone to Buy this Product
2958,12/1/2018,11,543,22,Bangalore,Dont ever dream of buying this item
2959,3/22/2019,892,629,97,Kolkata,Awful Items
2960,7/18/2019,712,123,68,Kolkata,Pathetic Items Received
2961,5/1/2019,203,116,75,Chennai,Wonderful Product
2962,7/28/2019,188,370,90,Hyderabad,Pathetic Items Received
2963,6/10/2019,157,115,31,Hyderabad,Wonderful Product
2964,8/14/2019,16,32,100,Mumbai,Pathetic Items Received
2965,6/21/2019,392,202,98,Mysore,Pathetic Items Received
2966,12/3/2018,359,860,67,Hyderabad,Wonderful Product
2967,10/14/2018,82,365,36,New Delhi,Pathetic Items Received
2968,7/12/2019,242,157,40,Chennai,Wonderful Product
2969,8/13/2019,382,862,11,Mumbai,Appreciated
2970,12/5/2018,923,251,15,Hyderabad,Strongly Recommend to Everyone to Buy this Product
2971,4/16/2019,210,369,76,Chennai,Appreciated
2972,5/11/2019,155,43,38,New Delhi,Strongly Recommend to Everyone to Buy this Product
2973,9/3/2019,223,146,34,Trivandrum,Wonderful Product
2974,8/2/2019,233,645,48,New Delhi,Dont ever dream of buying this item
2975,7/3/2019,862,420,92,Trivandrum,Awful Items
2976,12/31/2018,865,353,84,Trivandrum,Dont ever dream of buying this item
2977,10/8/2018,501,928,20,Chennai,Strongly Recommend to Everyone to Buy this Product
2978,6/10/2019,182,205,76,Mumbai,Wonderful Product
2979,8/15/2019,107,843,31,Trivandrum,Dont ever dream of buying this item
2980,4/4/2019,736,245,12,Trivandrum,Dont ever dream of buying this item
2981,11/26/2018,960,705,60,Mysore,Appreciated
2982,5/11/2019,349,912,14,Mysore,Dont ever dream of buying this item
2983,2/14/2019,948,865,49,Kolkata,Wonderful Product
2984,3/27/2019,872,314,44,Mysore,Awful Items
2985,1/31/2019,715,644,73,Mumbai,Awful Items
2986,5/29/2019,233,708,60,Hyderabad,Strongly Recommend to Everyone to Buy this Product
2987,8/16/2019,616,952,81,Bangalore,Wonderful Product
2988,12/9/2018,391,589,81,Mumbai,Strongly Recommend to Everyone to Buy this Product
2989,12/17/2018,655,636,92,Mysore,Dont ever dream of buying this item
2990,12/17/2018,465,913,96,Mumbai,Strongly Recommend to Everyone to Buy this Product
2991,8/3/2019,426,663,51,Chennai,Dont ever dream of buying this item
2992,3/8/2019,99,33,74,New Delhi,Awful Items
2993,7/9/2019,138,388,53,Kolkata,Wonderful Product
2994,6/2/2019,622,846,57,New Delhi,Strongly Recommend to Everyone to Buy this Product
2995,5/8/2019,990,535,18,New Delhi,Strongly Recommend to Everyone to Buy this Product
2996,6/23/2019,523,782,64,Bangalore,Dont ever dream of buying this item
2997,6/13/2019,279,332,93,New Delhi,Dont ever dream of buying this item
2998,7/26/2019,342,755,68,Mumbai,Awful Items
2999,11/19/2018,839,264,44,Bangalore,Wonderful Product
3000,6/21/2019,620,532,55,Bangalore,Wonderful Product
